id,code,name,categoria_ids,activar,union_id/id
employee_management_extended.record_000099,0024/88,"FEDERACION ARGENTINA OBREROS PASTELEROS,CONFITEROS, PIZZEROS Y ALFAJOREROS c/ASOCIACION PROPIETARIOS DE PIZZERIAS Y CASAS DE EMPANADAS.",,FALSE,
employee_management_extended.record_000100,0024/90 E,HIPICA ARG. S.A. / AGREM. DE EMPLEADOS POR REUNION DEL HIPODR. DE LA PLATA,,FALSE,
employee_management_extended.record_000101,0024/90RTA,LA RIOJA Y CATAMARCA,,FALSE,
employee_management_extended.record_000102,0025/05RTA,CORDOBA,,FALSE,
employee_management_extended.record_000103,0025/06RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000104,0025/90 E,STADIUM LUNA PARK - LECTOURE S.R.L. / SIND. UNIDO TRABAJADORES ESPECTACULO PÚBLICO,,FALSE,
employee_management_extended.record_000105,0026/06RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000106,0026/75,FERROCARRILES ARG. C/ LA FRATERNIDAD.,,FALSE,
employee_management_extended.record_000107,0026/75 E,GAS DEL ESTADO / UNIÓN DEL PERS. SUPERIOR DE GAS DEL ESTADO,,FALSE,
employee_management_extended.record_000108,0026/88,FEDERACION ARGENTINA DE TRABAJADORES DE FARMACIA c/ CONFEDERACION FARMACEUTICA Y BIOQUIMICA ARGENTINA,,FALSE,
employee_management_extended.record_000109,0026/90 E,SAAB-SCANIA ARGENTINA S.A. / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000110,0027/05RTA,BUENOS AIRES SOLO PARTIDO DE CARMEN DE PATAGONES,,FALSE,
employee_management_extended.record_000111,0027/06RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000112,0027/75,FERROCARRILES ARG. C/ SEÑALEROS.,,FALSE,
employee_management_extended.record_000113,0027/75 E,EATON ICSA SA / DIV. EJES / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000114,0027/88,SINDICATO DE MECANICOS Y AFINES DEL TRANSPORTE AUTOMOTOR c/ FEDERACION ARGENTINA DE ASOCIACIONES DE TALLERES DE REPARACION DE AUTOMOTORES Y AFINES.,,FALSE,
employee_management_extended.record_000115,0027/90 E,MARRIOTT INTERNACIONAL CORPORATION / UNION PERSONAL AERONAVEGACION DE ENTES PRIVADOS,,FALSE,
employee_management_extended.record_000116,0028/05RTA,TODO EL PAIS,,FALSE,
employee_management_extended.record_000117,0028/06RTA,TODO EL PAIS,,FALSE,
employee_management_extended.record_000118,0028/75 E,MIGUEL KEDA S.A. / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000119,0028/90 E,IND. LATINOAMERICANA DE ACCESORIOS S.A. / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000120,0029/06RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000121,0029/75 E,EATON ICSA SA / DIV. FUNDICIONES / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000122,0029/90 E,HIPICA ARGENTINA S.A. / SIND. MENSUAL DEL HIPODROMO DE LA PLATA,,FALSE,
employee_management_extended.record_000123,0030/06RTA,BUENOS AIRES Y LA PAMPA,,FALSE,
employee_management_extended.record_000124,0030/75,SINDICATO EMPLEADOS DISTRIBUIDORAS CINEMATOGRAFICAS c/ ASOCIACION ARGENTINA DISTRIBUIDORES DE PELICULAS,,FALSE,
employee_management_extended.record_000125,0030/75 E,Y.C.F. / LA FRATERNIDAD,,FALSE,
employee_management_extended.record_000126,0031/05RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000127,0031/75 E,REYSOL S.A. / ASOC. OBRERA TEXTIL DE LA R.A.,,FALSE,
employee_management_extended.record_000128,0031/91 E,EATON I.C.S.A. / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000129,0032/05RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000130,0032/06RTA,BUENOS AIRES,,FALSE,
employee_management_extended.record_000131,0032/75,UNION ARGENTINA ARTISTAS DE VARIEDADES c/ASOCIACION ARGENTINA DE EMPRESARIOS CIRCENSES.,,FALSE,
employee_management_extended.record_000132,0032/75 E,ENCOTEL / EMPRESA DEL ESTADO / FED. OBREROS Y EMPLEADOS DE CORREOS Y TELECOMUNICACIONES - FED. DEL PERSONAL JERÀRQUICO Y PROF. DE LA SEC. DE EST. Y COMUNICAC. - ASOC. ARGENTINA DE TELEGRA. RADIOTELEGRAF. Y AFINES,,FALSE,
employee_management_extended.record_000133,0032/89,FEDERACION TRABAJADORES DE INDUSTRIA DE LA ALIMENTACION c/ CAMARA DE INDUSTRIALES DEL PESCADO DE NECOCHEA Y QUEQUEN Y OTRAS,,FALSE,
employee_management_extended.record_000134,0032/91 E,DEL BENE S.A / UNION RECIBIDORES DE GRANOS Y ANEXOS DE LA R.A.,,FALSE,
employee_management_extended.record_000135,0033/05RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000136,0033/06RTA,BUENOS AIRES Y LA PAMPA,,FALSE,
employee_management_extended.record_000137,0033/75,SINDICATO ARGENTINO DE MUSICOS c/ ASOCIACION DE TELERADIODIFUSORAS ARGENTINAS Y OTRAS.,,FALSE,
employee_management_extended.record_000138,0033/75 E,FIAT CONCORD SACIF. / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000139,0033/91 E,INTERBAIRES S.A. / ASOC. DEL PERSONAL AERONAUTICO,,FALSE,
employee_management_extended.record_000140,0034/06RTA,CORRIENTES Y ENTRE RIOS,,FALSE,
employee_management_extended.record_000141,0034/75 E,REYSOL S.A. / SINDICATO EMPLEADOS TEXTILES DE LA INDUSTRIA Y AFINES,,FALSE,
employee_management_extended.record_000142,0034/91 E,INTERCARGO S.A. / ASOC. DEL PERSONAL AERONAUTICO,,FALSE,
employee_management_extended.record_000143,0034/95RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000144,0035/75 E,RHODIA ARGENTINA QUIMICA Y TEXTIL SAIC. / ASOC. OBRERA TEXTIL DE LA R.A.,,FALSE,
employee_management_extended.record_000145,0035/91 E,GRANDES MOTORES DIESEL S.A. / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR - SECC. CORDOBA,,FALSE,
employee_management_extended.record_000146,0036/04RTA,RIO NEGRO Y NEUQUEN,,FALSE,
employee_management_extended.record_000147,0036/75,FEDERACION ARGENTINA DE TRABAJADORES DELUZ Y FUERZA c/ AGUA Y ENERGIA ELECTRICA Y OTRAS EMPRESAS.,,FALSE,
employee_management_extended.record_000148,0036/75 E,RHODIA ARGENTINA QUIMICA Y TEXTIL SAIC. / SINDICATO EMPLEADOS TEXTILES DE LA INDUSTRIA Y AFINES,,FALSE,
employee_management_extended.record_000149,0036/89,ASOCIACION OBRERA MINERA ARGENTINA c/ FEDERACION ARGENTINA DE LA CAL Y PIEDRA Y OTRAS,,FALSE,
employee_management_extended.record_000150,0037/06RTA,CORRIENTES Y ENTRE RIOS,,FALSE,
employee_management_extended.record_000151,0037/89,ASOCIACION OBRERA MINERA ARGENTINA c/ CAMARA GREMIAL DE MOLIENDA DE MINERALESY OTRAS.,,FALSE,
employee_management_extended.record_000152,0037/91 E,YACIMIENTOS PETROLIFEROS FISCALES S.E. / CENTRO DE CAPITANES DE ULTRAMAR Y OFICIALES DE LA MARINA MERCANTE,,FALSE,
employee_management_extended.record_000153,0038/04RTA,SANTA FE,,FALSE,
employee_management_extended.record_000154,0038/06RTA,CHACO Y FORMOSA,,FALSE,
employee_management_extended.record_000155,0038/75 E,Y.P.F / ASOC. ARGENTINA DE AERONAVEGANTES,,FALSE,
employee_management_extended.record_000156,0038/89,ASOCIACION OBRERA MINERA ARG. c/ ASOC.ARGENTINA DE EMPRESARIOS MINEROS Y CAMARA ARGENTINA DE MINERIA METALIFERA,,FALSE,
employee_management_extended.record_000157,0039/06RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000158,0039/75 E,"EMPRESAS HORMIGONERA ARGENTINA SAICI. / SIND. CHOFERES, CAMIONES Y AFINES",,FALSE,
employee_management_extended.record_000159,0039/89,ASOC. OBRERA MINERA ARG. C/ COMPAÑIA MINERA AGUILAR S.A.,,FALSE,
employee_management_extended.record_000160,0039/91 E,AEROLINEAS ARGENTINAS S.A. / ASOC. DE TECNICOS DE VUELO DE LINEAS AEREAS,,FALSE,
employee_management_extended.record_000161,0039/95RTA,RIO NEGRO Y NEUQUEN,,FALSE,
employee_management_extended.record_000162,0040/04RTA,CORRIENTES Y ENTRE RIOS,,FALSE,
employee_management_extended.record_000163,0040/05RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000164,0040/06RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000165,0040/75 E,EMPRESA AEROTRANSPORTE ENTRE RIOS SRL / ASOC. DE TÉCNICOS DE VUELO DE LINEAS AEREAS,,FALSE,
employee_management_extended.record_000166,0040/89,FEDERACION NACIONAL DE TRABAJADORES CAMIONEROS Y OBREROS DEL TRANSPORTE AUTOMOTOR DE CARGA c/ CONFEDERACION ARGENTINA DELTRANSPORTE AUTOMOTOR DE CARGA.,,FALSE,employee_management_extended.hr_union_3
employee_management_extended.record_000167,0040/91 E,JUNTA NACIONAL DE GRANOS / ASOCIACION DEL PERSONAL DE LA JUNTA NACIONAL DE GRANOS,,FALSE,
employee_management_extended.record_000168,0041/05RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000169,0041/06RTA,MENDOZA Y SAN JUAN,,FALSE,
